original order,Case Number,Year,Country,Activity,Sex,Age,Fatal,Species
4919,2007.05.04,2007,TURKS & CAICOS,Shipwreck,Unknown,0,Y,Unknown/Other
4918,2007.05.00,2007,BAHAMAS,Other,F,20,N,Lemon shark
4917,2007.04.26,2007,AUSTRALIA,Swimming,F,13,N,Unknown/Other
4916,2007.04.22,2007,USA,Surfing,M,12,N,Spinner shark
4915,2007.04.20,2007,USA,Surfing,M,24,N,Unknown/Other
4914,2007.04.13.R,2007,USA,Fishing,Unknown,0,N,Bull shark
4913,2007.04.09,2007,NEW CALEDONIA,Surfing,M,26,N,Tiger shark
4912,2007.04.01,2007,USA,Swimming,M,7,N,Unknown/Other
4911,2007.03.31.b,2007,USA,Surfing,M,27,N,Unknown/Other
4910,2007.03.31.a,2007,USA,Other,M,9,N,Unknown/Other
4909,2007.03.22,2007,YEMEN,Other,Unknown,0,Y,Unknown/Other
4908,2007.03.21,2007,USA,Surfing,M,11,N,Unknown/Other
4907,2007.03.20,2007,AUSTRALIA,Surfing,F,42,N,Unknown/Other
4906,2007.03.14.R,2007,USA,Fishing,M,0,N,Unknown/Other
4905,2007.03.12,2007,AUSTRALIA,Swimming,F,59,N,Unknown/Other
4904,2007.03.11,2007,USA,Surfing,M,29,N,Unknown/Other
4903,2007.03.05.R,2007,NEW ZEALAND,Fishing,M,16,N,Tiger shark
4901,2007.02.03,2007,AUSTRALIA,Surfing,M,26,N,Unknown/Other
4900,2007.02.00,2007,NEW CALEDONIA,Fishing,M,0,N,Unknown/Other
4899,2007.01.25.b,2007,NEW CALEDONIA,Diving,M,30,N,Tiger shark
4898,2007.01.25.a,2007,USA,Other,Unknown,0,N,Unknown/Other
4897,2007.01.23,2007,AUSTRALIA,Diving,M,41,N,White shark
4895,2007.01.14,2007,SOUTH AFRICA,Swimming,M,24,Y,Tiger shark
4894,2007.01.09,2007,AUSTRALIA,Surfing,M,0,N,Unknown/Other
4893,2007.01.07,2007,USA,Surfing,M,54,UNKNOWN,Unknown/Other
4892,2007.01.05,2007,USA,Surfing,M,24,N,Tiger shark
4891,2006.12.18,2006,AUSTRALIA,Surfing,M,25,N,Unknown/Other
4890,2006.12.11,2006,NEW ZEALAND,Surfing,M,10,N,Unknown/Other
4889,2006.12.10,2006,USA,Surfing,M,43,N,White shark
4888,2006.12.06,2006,SOUTH AFRICA,Fishing,M,25,N,Raggedtooth shark
4887,2006.12.02,2006,AUSTRALIA,Surfing,M,15,N,White shark
4886,2006.11.25,2006,PHILIPPINES,Shipwreck,Unknown,0,Y,Unknown/Other
4885,2006.11.11,2006,USA,Swimming,M,29,N,Unknown/Other
4884,2006.11.09,2006,SOUTH AFRICA,Kayaking,M,0,N,Bull shark
4883,2006.10.31,2006,USA,Surfing,M,22,N,White shark
4882,2006.10.16,2006,USA,Fishing,M,15,N,Unknown/Other
4881,2006.10.10,2006,USA,Surfing,M,20,N,Unknown/Other
4880,2006.10.07,2006,USA,Surfing,M,0,N,Unknown/Other
4879,2006.10.05,2006,USA,Swimming,M,18,N,Unknown/Other
4878,2006.10.00.b,2006,BAHAMAS,Diving,F,26,N,Unknown/Other
4877,2006.10.00.a,2006,GULF OF ADEN,Other,Unknown,0,Y,Unknown/Other
4876,2006.09.30,2006,SOUTH AFRICA,Fishing,M,36,UNKNOWN,Unknown/Other
4875,2006.09.29,2006,USA,Surfing,M,19,N,Unknown/Other
4874,2006.09.18.R,2006,USA,Diving,M,0,N,Nurse shark
4873,2006.09.16,2006,USA,Surfing,M,16,N,Unknown/Other
4872,2006.09.14,2006,USA,Swimming,M,55,N,Spinner shark
4871,2006.09.11,2006,USA,Surfing,M,52,N,Unknown/Other
4869,2006.09.03.b,2006,BRAZIL,Other,M,20,Y,Unknown/Other
4868,2006.09.03.a,2006,USA,Swimming,M,33,N,Unknown/Other
4867,2006.09.02,2006,USA,Swimming,M,12,N,Unknown/Other
4865,2006.08.29.b,2006,USA,Surfing,M,23,N,Unknown/Other
4864,2006.08.29.a,2006,AUSTRALIA,Surfing,M,0,N,Bronze whaler shark
4863,2006.08.27,2006,REUNION,Surfing,M,27,N,Unknown/Other
4860,2006.08.20.b,2006,ITALY,Shipwreck,M,0,Y,Unknown/Other
4859,2006.08.20.a,2006,REUNION,Surfing,M,34,Y,Unknown/Other
4858,2006.08.15,2006,SOUTH AFRICA,Surfing,M,0,N,Unknown/Other
4857,2006.08.13,2006,SOUTH AFRICA,Other,M,24,N,White shark
4856,2006.08.00.b,2006,USA,Swimming,F,59,N,Unknown/Other
4855,2006.08.00.a,2006,REUNION,Fishing,M,0,N,Bull shark
4854,2006.07.31.R,2006,USA,Other,Unknown,0,N,Unknown/Other
4853,2006.07.31.a,2006,USA,Surfing,M,41,N,White shark
4852,2006.07.29.b,2006,USA,Surfing,M,0,N,Mako shark
4851,2006.07.29.a,2006,USA,Surfing,M,15,N,Unknown/Other
4850,2006.07.28,2006,SOUTH AFRICA,Surfing,M,19,N,White shark
4849,2006.07.25,2006,USA,Surfing,M,14,N,Unknown/Other
4848,2006.07.23,2006,USA,Fishing,M,0,N,Bull shark
4846,2006.07.17,2006,USA,Swimming,M,49,N,Angel shark
4844,2006.07.12,2006,USA,Swimming,F,21,N,Unknown/Other
4843,2006.07.10,2006,BRAZIL,Other,M,0,Y,Tiger shark
4842,2006.07.09.b,2006,USA,Swimming,M,40,N,Unknown/Other
4841,2006.07.09.a,2006,USA,Swimming,M,11,N,Unknown/Other
4840,2006.07.08.b,2006,USA,Surfing,F,14,N,Bull shark
4839,2006.07.08.a,2006,USA,Swimming,M,13,N,Unknown/Other
4838,2006.06.30.b,2006,USA,Fishing,F,28,N,Blacktip shark
4837,2006.06.30.a,2006,USA,Fishing,M,35,N,Blacktip shark
4836,2006.06.27,2006,USA,Surfing,F,9,N,Unknown/Other
4835,2006.06.26,2006,USA,Fishing,M,0,N,Unknown/Other
4834,2006.06.24,2006,BAHAMAS,Fishing,M,25,N,Unknown/Other
4833,2006.06.20,2006,USA,Surfing,F,22,N,Blacktip shark
4832,2006.06.18,2006,BRAZIL,Surfing,M,27,Y,Unknown/Other
4831,2006.06.17,2006,USA,Diving,M,43,N,Unknown/Other
4830,2006.06.15,2006,USA,Surfing,M,24,N,Unknown/Other
4829,2006.06.07,2006,USA,Swimming,F,7,N,Unknown/Other
4828,2006.06.05,2006,AUSTRALIA,Surfing,M,40,N,White shark
4827,2006.05.31,2006,USA,Fishing,M,26,N,Tiger shark
4826,2006.05.28,2006,USA,Other,Unknown,0,N,Tiger shark
4825,2006.05.27,2006,USA,Surfing,M,31,N,Unknown/Other
4824,2006.05.24,2006,USA,Fishing,M,15,N,Reef shark
4823,2006.05.21,2006,BRAZIL,Surfing,M,33,N,Unknown/Other
4822,2006.05.19,2006,USA,Diving,F,30,N,Tiger shark
4821,2006.05.10,2006,USA,Other,M,0,N,Unknown/Other
4820,2006.05.04,2006,USA,Swimming,F,20,N,Unknown/Other
4819,2006.05.02,2006,AUSTRALIA,Swimming,M,46,N,Wobbegong shark
4818,2006.04.23.R,2006,USA,Other,M,0,UNKNOWN,Unknown/Other
4817,2006.04.21,2006,USA,Surfing,M,54,N,Unknown/Other
4816,2006.04.19,2006,USA,Swimming,F,13,N,Unknown/Other
4815,2006.04.13,2006,USA,Fishing,M,35,N,Bull shark
4814,2006.04.11,2006,AUSTRALIA,Surfing,M,15,N,Bronze whaler shark
4813,2006.04.09.b,2006,SOUTH AFRICA,Surfing,M,15,N,Raggedtooth shark
4812,2006.04.09.a,2006,BRAZIL,Swimming,M,35,N,Tiger shark
4811,2006.04.03,2006,USA,Swimming,M,11,N,Unknown/Other
4810,2006.03.28.R,2006,SIERRA LEONE,Fishing,M,0,Y,Unknown/Other
4809,2006.03.23,2006,USA,Surfing,F,28,N,Tiger shark
4807,2006.03.19,2006,FIJI,Surfing,M,21,N,Tiger shark
4806,2006.03.15,2006,AUSTRALIA,Surfing,M,15,N,Bronze whaler shark
4805,2006.02.27,2006,USA,Swimming,F,15,N,Unknown/Other
4804,2006.02.23,2006,USA,Diving,M,45,UNKNOWN,Unknown/Other
4803,2006.02.13,2006,AUSTRALIA,Swimming,M,18,N,Unknown/Other
4802,2006.02.12.b,2006,AUSTRALIA,Swimming,M,0,N,Unknown/Other
4801,2006.02.12.a,2006,AUSTRALIA,Fishing,M,0,N,White shark
4800,2006.02.08,2006,SOUTH AFRICA,Surfing,M,15,N,Raggedtooth shark
4799,2006.02.01.b,2006,TONGA,Swimming,F,24,Y,Tiger shark
4798,2006.02.01.a,2006,USA,Kayaking,M,57,N,Unknown/Other
4797,2006.01.28.R,2006,ATLANTIC OCEAN,Kayaking,M,46,N,Unknown/Other
4796,2006.01.25,2006,SOUTH AFRICA,Fishing,M,34,N,Unknown/Other
4795,2006.01.23,2006,ATLANTIC OCEAN,Kayaking,F,0,N,Unknown/Other
4794,2006.01.18,2006,USA,Surfing,M,0,N,Unknown/Other
4793,2006.01.15,2006,AUSTRALIA,Diving,M,52,N,White shark
4792,2006.01.11,2006,BAHAMAS,Diving,M,0,UNKNOWN,Unknown/Other
4791,2006.01.07,2006,AUSTRALIA,Swimming,F,21,Y,Bull shark
4790,2006.01.04,2006,USA,Surfing,M,21,N,Unknown/Other
4789,2006.01.01,2006,SOUTH AFRICA,Diving,M,49,N,Unknown/Other
4788,2005.12.24,2005,USA,Surfing,M,30,N,White shark
4787,2005.12.21,2005,USA,Swimming,M,29,N,Tiger shark
4786,2005.12.20,2005,ATLANTIC OCEAN,Kayaking,Unknown,0,N,Unknown/Other
4785,2005.12.11,2005,AUSTRALIA,Fishing,M,44,N,White shark
4784,2005.12.05.R,2005,AUSTRALIA,Fishing,Unknown,0,N,White shark
4783,2005.11.29.R,2005,USA,Surfing,M,15,N,Unknown/Other
4782,2005.11.27,2005,USA,Surfing,M,23,N,Unknown/Other
4781,2005.11.25.c,2005,AUSTRALIA,Fishing,Unknown,0,N,White shark
4780,2005.11.25.b,2005,AUSTRALIA,Surfing,M,18,N,Unknown/Other
4779,2005.11.25.a,2005,SOUTH AFRICA,Surfing,M,26,N,Unknown/Other
4778,2005.11.24,2005,NEW CALEDONIA,Fishing,Unknown,0,N,Unknown/Other
4777,2005.11.21,2005,USA,Surfing,M,30,N,Unknown/Other
4776,2005.11.20,2005,USA,Surfing,M,17,N,Unknown/Other
4775,2005.11.16.R,2005,NEW CALEDONIA,Other,Unknown,0,N,White shark
4774,2005.11.15,2005,SOUTH AFRICA,Fishing,M,32,N,Raggedtooth shark
4773,2005.11.12,2005,USA,Surfing,M,18,N,Unknown/Other
4772,2005.11.02.b,2005,USA,Surfing,M,25,N,Unknown/Other
4771,2005.11.02.a,2005,USA,Surfing,M,26,N,White shark
4770,2005.10.29,2005,USA,Swimming,M,15,N,Unknown/Other
4769,2005.10.25,2005,ST. MARTIN,Swimming,M,55,N,Unknown/Other
4768,2005.10.22,2005,SOUTH AFRICA,Surfing,M,20,N,Unknown/Other
4767,2005.10.21,2005,USA,Surfing,M,36,N,White shark
4766,2005.10.19,2005,USA,Surfing,F,20,N,White shark
4765,2005.10.15,2005,USA,Swimming,M,15,N,Unknown/Other
4764,2005.10.13,2005,USA,Surfing,M,22,N,Tiger shark
4763,2005.10.11,2005,GRAND CAYMAN,Diving,F,57,N,Reef shark
4762,2005.10.06,2005,USA,Surfing,M,48,N,Unknown/Other
4761,2005.10.03,2005,BAHAMAS,Diving,M,35,N,Unknown/Other
4760,2005.10.01,2005,SOUTH AFRICA,Surfing,M,52,N,White shark
4759,2005.09.27.R,2005,AUSTRALIA,Surfing,M,28,N,Tiger shark
4758,2005.09.24,2005,AUSTRALIA,Surfing,M,26,N,White shark
4757,2005.09.23,2005,AUSTRALIA,Surfing,M,44,N,Bronze whaler shark
4755,2005.09.20,2005,USA,Surfing,F,68,N,Unknown/Other
4754,2005.09.11,2005,USA,Surfing,M,18,Y,Unknown/Other
4753,2005.09.07,2005,AUSTRALIA,Swimming,M,15,N,Unknown/Other
4752,2005.09.05,2005,USA,Swimming,F,18,N,Bull shark
4751,2005.09.04.a,2005,AUSTRALIA,Surfing,M,40,N,White shark
4750,2005.09.02.b,2005,USA,Surfing,M,62,N,Unknown/Other
4749,2005.09.02.a,2005,THAILAND,Fishing,M,21,Y,Unknown/Other
4748,2005.08.24.b,2005,AUSTRALIA,Diving,M,23,Y,White shark
4747,2005.08.24.a,2005,USA,Surfing,M,37,N,White shark
4745,2005.08.21,2005,USA,Swimming,M,8,N,Blacktip shark
4744,2005.08.19,2005,USA,Swimming,M,12,N,Unknown/Other
4742,2005.08.12,2005,USA,Surfing,M,16,N,Unknown/Other
4741,2005.08.06,2005,USA,Swimming,M,14,N,Unknown/Other
4740,2005.08.01,2005,SEYCHELLES,Fishing,M,0,UNKNOWN,Unknown/Other
4739,2005.07.27,2005,USA,Swimming,F,13,N,Unknown/Other
4738,2005.07.23,2005,USA,Surfing,M,61,N,Unknown/Other
4735,2005.07.17.a,2005,CHINA,Diving,M,24,N,Unknown/Other
4733,2005.07.15,2005,USA,Swimming,M,22,N,Unknown/Other
4732,2005.07.13,2005,USA,Other,F,14,N,Unknown/Other
4731,2005.07.01,2005,USA,Swimming,M,19,N,Unknown/Other
4730,2005.06.27,2005,USA,Fishing,M,16,N,Bull shark
4729,2005.06.25,2005,USA,Swimming,F,14,Y,Bull shark
4728,2005.06.22,2005,VANUATU,Swimming,F,7,Y,Unknown/Other
4727,2005.06.21,2005,MEXICO,Surfing,M,0,N,Unknown/Other
4726,2005.06.18,2005,USA,Swimming,M,49,UNKNOWN,Unknown/Other
4725,2005.06.16,2005,USA,Swimming,M,20,N,Unknown/Other
4724,2005.06.13,2005,SOUTH KOREA,Diving,F,38,N,White shark
4723,2005.06.07,2005,USA,Surfing,F,11,N,Unknown/Other
4721,2005.06.04,2005,SOUTH AFRICA,Diving,M,22,Y,White shark
4720,2005.06.02,2005,USA,Swimming,M,6,N,Unknown/Other
4719,2005.05.28,2005,USA,Swimming,M,33,N,Unknown/Other
4718,2005.05.27,2005,USA,Other,F,0,N,Unknown/Other
4717,2005.05.25,2005,SOUTH AFRICA,Surfing,M,32,N,Raggedtooth shark
4716,2005.05.15,2005,AUSTRALIA,Fishing,M,0,N,Blacktip shark
4715,2005.05.14,2005,USA,Kayaking,Unknown,0,N,Tiger shark
4714,2005.05.03,2005,MADAGASCAR,Fishing,M,0,N,Unknown/Other
4713,2005.05.02.R,2005,USA,Shipwreck,M,0,N,Unknown/Other
4712,2005.05.02,2005,USA,Surfing,M,47,N,Tiger shark
4711,2005.04.25,2005,AUSTRALIA,Fishing,M,25,N,Mako shark
4710,2005.04.17.R,2005,AUSTRALIA,Other,Unknown,0,N,Unknown/Other
4709,2005.04.16.b,2005,AUSTRALIA,Fishing,M,20,N,Bronze whaler shark
4708,2005.04.16.a,2005,AUSTRALIA,Surfing,M,40,N,Bronze whaler shark
4707,2005.04.13,2005,USA,Swimming,F,70,N,Blacktip shark
4705,2005.04.07,2005,USA,Surfing,M,37,N,Unknown/Other
4704,2005.04.06,2005,USA,Other,F,0,N,Hammerhead shark
4702,2005.03.28,2005,SOUTH AFRICA,Surfing,M,32,N,Unknown/Other
4701,2005.03.27.R,2005,AUSTRALIA,Surfing,M,0,N,Unknown/Other
4700,2005.03.25,2005,VENEZUELA,Surfing,M,0,N,Unknown/Other
4699,2005.03.19,2005,AUSTRALIA,Swimming,M,26,Y,White shark
4698,2005.03.12,2005,USA,Swimming,M,45,N,Tiger shark
4697,2005.03.10,2005,SOUTH AFRICA,Other,M,51,UNKNOWN,Unknown/Other
4696,2005.03.09,2005,NEW ZEALAND,Fishing,M,0,N,Bronze whaler shark
4695,2005.03.05,2005,SOLOMON ISLANDS,Diving,M,0,N,Unknown/Other
4694,2005.02.26,2005,AUSTRALIA,Swimming,M,18,N,Bull shark
4693,2005.02.22,2005,USA,Fishing,M,0,N,Nurse shark
4692,2005.02.16,2005,USA,Surfing,M,0,N,Tiger shark
4691,2005.02.13,2005,USA,Fishing,M,0,N,Reef shark
4690,2005.02.04,2005,BRAZIL,Surfing,M,12,N,Unknown/Other
4689,2005.01.20,2005,CUBA,Swimming,M,19,N,Unknown/Other
4688,2005.01.19,2005,AUSTRALIA,Fishing,M,0,N,Unknown/Other
4687,2005.01.14,2005,AUSTRALIA,Sailing,Unknown,0,N,Bronze whaler shark
4686,2005.01.08,2005,NEW ZEALAND,Fishing,M,39,N,White shark
4684,2004.12.16,2004,AUSTRALIA,Surfing,M,18,Y,White shark
4683,2004.12.11,2004,AUSTRALIA,Fishing,M,38,Y,Bull shark
4682,2004.11.27,2004,SOUTH AFRICA,Surfing,M,20,N,Raggedtooth shark
4681,2004.11.26,2004,SOUTH AFRICA,Swimming,M,16,N,Raggedtooth shark
4680,2004.11.15,2004,SOUTH AFRICA,Swimming,F,77,Y,White shark
4679,2004.11.11.b,2004,USA,Surfing,Unknown,38,N,White shark
4678,2004.11.11.a,2004,VANUATU,Swimming,M,30,N,Unknown/Other
4677,2004.11.00,2004,NEW CALEDONIA,Diving,Unknown,0,N,Unknown/Other
4676,2004.10.31,2004,CUBA,Diving,M,40,N,Bull shark
4675,2004.10.30.x,2004,NEW ZEALAND,Other,Unknown,0,UNKNOWN,Unknown/Other
4674,2004.10.30.a,2004,SOUTH AFRICA,Other,M,52,N,White shark
4673,2004.10.21,2004,AUSTRALIA,Surfing,M,59,N,Bronze whaler shark
4672,2004.10.10,2004,USA,Surfing,M,0,N,White shark
4671,2004.10.09.b,2004,USA,Fishing,M,34,N,Tiger shark
4670,2004.10.09.a,2004,SOUTH AFRICA,Surfing,M,34,N,Raggedtooth shark
4669,2004.10.06,2004,REUNION,Surfing,M,15,N,Tiger shark
4668,2004.10.02,2004,USA,Surfing,M,16,N,Unknown/Other
4667,2004.10.01,2004,USA,Surfing,M,40,N,Unknown/Other
4666,2004.09.25,2004,AUSTRALIA,Fishing,Unknown,0,N,Tiger shark
4665,2004.09.20,2004,USA,Surfing,M,26,N,White shark
4664,2004.09.10,2004,USA,Fishing,M,0,UNKNOWN,Unknown/Other
4663,2004.09.08,2004,BRAZIL,Swimming,Unknown,0,Y,Unknown/Other
4662,2004.09.04,2004,USA,Other,F,17,N,Unknown/Other
4661,2004.08.29,2004,USA,Swimming,F,38,N,Unknown/Other
4660,2004.08.21,2004,BRAZIL,Swimming,M,24,N,Tiger shark
4659,2004.08.20,2004,USA,Surfing,M,0,N,White shark
4658,2004.08.15,2004,USA,Diving,M,50,Y,White shark
4657,2004.08.06,2004,USA,Swimming,M,47,N,Unknown/Other
4656,2004.08.03,2004,AUSTRALIA,Fishing,M,30,N,Unknown/Other
4655,2004.08.00,2004,SOUTH AFRICA,Fishing,Unknown,0,N,White shark
4654,2004.07.31,2004,USA,Surfing,F,20,N,Unknown/Other
4653,2004.07.30,2004,RUSSIA,Fishing,M,0,N,White shark
4652,2004.07.28,2004,USA,Surfing,F,28,N,Unknown/Other
4651,2004.07.27.b,2004,USA,Swimming,F,13,N,Unknown/Other
4650,2004.07.27.a,2004,USA,Swimming,F,19,N,Unknown/Other
4649,2004.07.25,2004,USA,Swimming,M,11,N,Bull shark
4648,2004.07.19.R,2004,AUSTRALIA,Fishing,Unknown,0,N,White shark
4647,2004.07.15,2004,JAPAN,Fishing,M,51,N,Mako shark
4646,2004.07.10,2004,AUSTRALIA,Surfing,M,30,Y,Unknown/Other
4645,2004.07.02.b,2004,EGYPT,Swimming,F,15,N,Unknown/Other
4644,2004.07.02.a,2004,USA,Swimming,M,7,N,Unknown/Other
4643,2004.06.26.b,2004,USA,Surfing,M,45,N,White shark
4642,2004.06.26.a,2004,AUSTRALIA,Fishing,M,0,UNKNOWN,Unknown/Other
4641,2004.06.14,2004,USA,Diving,F,0,N,Unknown/Other
4640,2004.06.10.b,2004,AUSTRALIA,Surfing,M,17,N,Bronze whaler shark
4639,2004.06.10.a,2004,USA,Swimming,M,8,N,Unknown/Other
4638,2004.06.02,2004,SOUTH AFRICA,Swimming,M,21,Y,White shark
4637,2004.05.29,2004,USA,Swimming,M,16,N,Unknown/Other
4636,2004.05.23.b,2004,BRAZIL,Swimming,M,17,N,Bull shark
4635,2004.05.28,2004,USA,Surfing,M,44,N,Unknown/Other
4634,2004.05.23.a,2004,USA,Swimming,M,9,N,Unknown/Other
4632,2004.05.22.b,2004,USA,Other,F,9,N,Unknown/Other
4631,2004.05.22.a,2004,BRAZIL,Swimming,F,24,N,Unknown/Other
4630,2004.05.18,2004,BAHAMAS,Diving,M,63,N,Reef shark
4629,2004.05.04,2004,USA,Surfing,M,28,N,Mako shark
4628,2004.05.01,2004,BRAZIL,Swimming,M,22,Y,Unknown/Other
4627,2004.04.26,2004,AUSTRALIA,Diving,M,0,N,Wobbegong shark
4626,2004.04.22,2004,NEW ZEALAND,Fishing,Unknown,0,N,White shark
4625,2004.04.13.b,2004,TONGA,Fishing,M,0,Y,Unknown/Other
4624,2004.04.13.a,2004,TONGA,Fishing,M,0,Y,Unknown/Other
4623,2004.04.07,2004,USA,Surfing,M,57,Y,Tiger shark
4622,2004.04.05,2004,SOUTH AFRICA,Surfing,M,16,N,White shark
4620,2004.03.31.b,2004,USA,Other,M,26,N,Unknown/Other
4619,2004.03.31.a,2004,USA,Surfing,M,20,N,Bull shark
4618,2004.03.29,2004,BRAZIL,Surfing,M,22,N,Bull shark
4617,2004.03.28,2004,USA,Surfing,M,0,N,Bull shark
4616,2004.03.27.b,2004,REUNION,Surfing,M,20,N,Unknown/Other
4615,2004.03.27.a,2004,USA,Swimming,M,61,N,Unknown/Other
4614,2004.03.24,2004,USA,Swimming,F,0,N,Unknown/Other
4613,2004.03.22,2004,NEW ZEALAND,Fishing,M,0,N,Bronze whaler shark
4612,2004.03.16,2004,USA,Surfing,M,51,N,Tiger shark
4611,2004.03.06,2004,AUSTRALIA,Fishing,M,47,N,Bronze whaler shark
4610,2004.02.29,2004,BRAZIL,Swimming,M,29,Y,Unknown/Other
4609,2004.02.26,2004,NEW ZEALAND,Surfing,M,15,N,Sevengill shark
4608,2004.02.21,2004,AUSTRALIA,Swimming,M,0,N,Unknown/Other
4606,2004.02.14,2004,EGYPT,Swimming,M,0,Y,Unknown/Other
4605,2004.02.11,2004,AUSTRALIA,Swimming,M,22,N,Unknown/Other
4604,2004.01.25,2004,AUSTRALIA,Diving,M,46,N,White shark
4603,2004.01.23,2004,URUGUAY,Surfing,M,21,N,Tiger shark
4602,2004.01.22,2004,NEW ZEALAND,Surfing,M,0,UNKNOWN,Unknown/Other
4601,2004.01.21.b,2004,VENEZUELA,Swimming,M,0,N,Bull shark
4600,2004.01.21.a,2004,VENEZUELA,Fishing,M,40,N,Bull shark
4599,2004.01.15.R,2004,SOUTH AFRICA,Surfing,M,0,N,Mako shark
4598,2004.01.12,2004,AUSTRALIA,Diving,M,0,N,Raggedtooth shark
4597,2004.01.07,2004,SOUTH AFRICA,Surfing,M,22,N,Raggedtooth shark
4596,2004.01.03.b,2004,NEW ZEALAND,Fishing,M,0,UNKNOWN,Unknown/Other
4595,2004.01.03.a,2004,EGYPT,Shipwreck,Unknown,0,Y,Unknown/Other
4594,2004.00.00,2004,AUSTRALIA,Surfing,M,0,N,Unknown/Other
4593,2003.12.31,2003,SOUTH AFRICA,Other,Unknown,0,N,Mako shark
4592,2003.12.26,2003,USA,Swimming,M,28,UNKNOWN,Unknown/Other
4591,2003.12.13.b,2003,USA,Swimming,M,13,N,Unknown/Other
4590,2003.12.13.a,2003,NEW ZEALAND,Swimming,M,45,Y,Unknown/Other
4589,2003.12.08,2003,AUSTRALIA,Surfing,M,36,N,Unknown/Other
4588,2003.11.30.b,2003,AUSTRALIA,Swimming,M,0,N,Wobbegong shark
4587,2003.11.30.a,2003,AUSTRALIA,Swimming,M,0,N,Wobbegong shark
4586,2003.11.27,2003,SOUTH AFRICA,Fishing,M,21,Y,Tiger shark
4585,2003.11.22,2003,USA,Surfing,F,35,N,Unknown/Other
4584,2003.11.12.b,2003,INDIA,Swimming,M,35,N,Tiger shark
4583,2003.11.12.a,2003,USA,Surfing,M,24,N,Unknown/Other
4582,2003.11.06.b,2003,EGYPT,Swimming,M,0,N,White shark
4581,2003.11.06.a,2003,SOUTH AFRICA,Surfing,Unknown,0,N,White shark
4580,2003.11.01,2003,AUSTRALIA,Swimming,M,0,N,Unknown/Other
4579,2003.11.00,2003,PANAMA,Fishing,M,0,N,Nurse shark
4578,2003.10.31.c,2003,USA,Surfing,M,18,N,Unknown/Other
4577,2003.10.31.b,2003,AUSTRALIA,Surfing,M,22,N,Nurse shark
4576,2003.10.31.a,2003,USA,Surfing,F,13,N,Tiger shark
4575,2003.10.27,2003,USA,Surfing,M,46,N,Unknown/Other
4573,2003.10.14,2003,USA,Surfing,M,19,N,Unknown/Other
4571,2003.10.05.e,2003,USA,Surfing,F,0,N,Unknown/Other
4570,2003.10.05.d,2003,USA,Surfing,M,18,N,Unknown/Other
4569,2003.10.05.c,2003,USA,Surfing,M,30,N,Unknown/Other
4568,2003.10.05.b,2003,USA,Surfing,M,50,N,Unknown/Other
4567,2003.10.05.a,2003,USA,Swimming,F,41,N,Unknown/Other
4566,2003.09.29,2003,FIJI,Swimming,M,40,Y,Unknown/Other
4565,2003.09.28,2003,USA,Surfing,M,16,N,Unknown/Other
4564,2003.09.21,2003,USA,Surfing,M,21,N,Unknown/Other
4563,2003.09.19,2003,USA,Surfing,M,19,N,Unknown/Other
4562,2003.09.17,2003,USA,Surfing,M,17,N,Unknown/Other
4561,2003.09.14.c,2003,USA,Surfing,M,30,N,Unknown/Other
4560,2003.09.14.b,2003,SOUTH AFRICA,Fishing,Unknown,36,N,Unknown/Other
4559,2003.09.14.a,2003,USA,Swimming,F,8,UNKNOWN,Unknown/Other
4558,2003.09.13.b,2003,USA,Surfing,M,18,N,Unknown/Other
4557,2003.09.13.a,2003,USA,Swimming,M,15,N,Unknown/Other
4556,2003.09.12,2003,SOUTH AFRICA,Surfing,M,19,Y,White shark
4555,2003.09.00,2003,USA,Fishing,M,0,N,Unknown/Other
4554,2003.08.29,2003,USA,Fishing,M,0,N,Bull shark
4553,2003.08.19,2003,USA,Swimming,F,50,Y,White shark
4551,2003.08.08,2003,SOUTH AFRICA,Surfing,M,16,N,White shark
4550,2003.07.26.R,2003,AUSTRALIA,Surfing,M,37,N,Unknown/Other
4549,2003.07.20,2003,USA,Surfing,M,18,N,Unknown/Other
4548,2003.07.15,2003,USA,Swimming,F,15,N,Unknown/Other
4547,2003.07.09,2003,BAHAMAS,Fishing,M,58,N,Unknown/Other
4546,2003.07.05.b,2003,USA,Swimming,M,10,N,Unknown/Other
4545,2003.07.05.a,2003,USA,Surfing,M,21,N,Unknown/Other
4544,2003.07.04,2003,BAHAMAS,Fishing,M,39,N,Bull shark
4543,2003.07.00.c,2003,USA,Fishing,M,0,N,Hammerhead shark
4542,2003.07.00.b,2003,FRENCH POLYNESIA,Fishing,M,0,N,Unknown/Other
4541,2003.07.00.a,2003,NEW ZEALAND,Swimming,M,0,N,Reef shark
4540,2003.06.30,2003,USA,Surfing,M,17,N,Unknown/Other
4539,2003.06.26,2003,USA,Surfing,M,15,N,Unknown/Other
4538,2003.06.24.c,2003,BRAZIL,Other,M,0,Y,Unknown/Other
4537,2003.06.24.b,2003,USA,Swimming,F,12,N,Unknown/Other
4536,2003.06.24.a,2003,USA,Swimming,M,60,N,Unknown/Other
4535,2003.06.22,2003,USA,Swimming,M,51,N,Unknown/Other
4534,2003.06.19,2003,USA,Surfing,M,33,N,Sand shark
4533,2003.06.08,2003,USA,Surfing,Unknown,15,N,Unknown/Other
4531,2003.05.25,2003,USA,Surfing,M,18,N,Unknown/Other
4530,2003.05.14,2003,USA,Swimming,M,22,N,Unknown/Other
