Case Number,Date,Year,Country,Area,Location,Injury,Fatal (Y/N),Month,Hemisphere,Season,year_by_50
1952.07.05,05-Jul-1952,1952,USA,Puerto Rico,"Mona Island, 40 miles west of the mainland ",Leg lacerated & bone fractured ,N,7,North,Summer,2000
1952.05.27,27-May-1952,1952,USA,California,"Imperial Beach, San Diego County",Foot & swimfin bitten,N,5,North,Spring,2000
1952.05.07.R,Reported 07-May-1952,1952,AUSTRALIA,Western Australia,Boyup Brook,Lacerations to 2 fingers & knuckles abraded,N,5,South,Autumn,2000
1952.04.06,06-Apr-1952,1952,AUSTRALIA,South Australia,Streaky Bay,No injury to fisherman Alf Dean & other occupants;,N,4,South,Autumn,2000
1952.03.30,30-Mar-1952,1952,VENEZUELA,Curacao,Not applicable,"Buttock bitten, tissue removed",N,3,North,Spring,2000
1952.01.23,23-Jan-1952,1952,MAURITIUS,Port Louis Province,Port Louis,Right foot lacerated by a larger shark. Lost several toes  PROVOKED INCIDENT,N,1,South,Summer,2000
1952.07.27.d,27-Jul-1952,1952,USA,Florida,"Panacea, Wakulla County",No injury to occupants. Shark chasing fish leapt into skiff & flopped out,N,7,North,Summer,2000
1953.07.31,31-Jul-1953,1953,MEXICO,Colima,Manzanillo,FATAL,Y,7,North,Summer,2000
1953.09.02,02-Sep-1953,1953,USA,Hawaii,"Waiau, Pearl Harbor, O'ahu",Leg & foot bitten,N,9,North,Autumn,2000
1953.09.03.R,Reported 03-Sep-1953,1953,USA,New York,Rockaway Beach,Laceration to right lower leg,N,9,North,Autumn,2000
1953.09.18,18-Sep-1953,1953,USA,Georgia,200 miles east of Savannah,Hand bitten,N,9,North,Autumn,2000
1953.07.26,26-Jul-1953,1953,USA,Hawaii,"Maile Beach, O'ahu","FATAL, thigh bitten",Y,7,North,Summer,2000
1953.09.27,27-Sep-1953,1953,PHILIPPINES,Luzon Island,Bohol,FATAL,Y,9,North,Autumn,2000
1953.12.13,13-Dec-1953,1953,AUSTRALIA,Queensland,Palm Beach,Bruised shoulder chest & foot,N,12,South,Summer,2000
1953.12.22,22-Dec-1953,1953,SOUTH AFRICA,Eastern Cape Province,Port Elizabeth,Lacerations to arm,N,12,South,Summer,2000
1953.12.30,30-Dec-1953,1953,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. Johns",Left calf lacerated,N,12,South,Summer,2000
1953.09.20.R,Reported 20-Sep-1953,1953,USA,California,"Santa Catalina Island, Los Angeles County",No injury,N,9,North,Autumn,2000
1953.07.16,16-Jul-1953,1953,USA,California,"Santa Catalina Island, Los Angeles County",Arm bitten by hooked shark PROVOKED INCIDENT,N,7,North,Summer,2000
1953.01.20,20-Jan-1953,1953,AUSTRALIA,South Australia,Largs Bay,Finger bitten by hooked shark PROVOKED INCIDENT,N,1,South,Summer,2000
1953.07.11,11-Jul-1953,1953,PHILIPPINES,330 to 350 miles east of Wake Island,Not applicable,Recuers fought sharks for the bodies,N,7,North,Summer,2000
1953.07.15,15-Jul-1953,1953,USA,Florida,"Juno Beach, Palm Beach County",Lower left leg severely bitten,N,7,North,Summer,2000
1953.01.08,08-Jan-1953,1953,AUSTRALIA,Tasmania,Wynyard,"No injury to occupant, shark charged boat",N,1,South,Summer,2000
1953.02.18,18-Feb-1953,1953,USA,Hawaii,"Barbers Point, O'ahu",Hand bitten  PROVOKED INCIDENT  ,N,2,North,Winter,2000
1953.03.19.R,Reported 19-Mar-1953,1953,AUSTRALIA,South Australia,"Schnapper Rock, Kirton Point",Abrasion,N,3,South,Autumn,2000
1953.02.15,15-Feb-1953,1953,AUSTRALIA,New South Wales,Cave at Shell Harbour,"Shark tore off face mask, divers face, nose & chin lacerated",N,2,South,Summer,2000
1953.04.07,07-Apr-1953,1953,AUSTRALIA,New South Wales,1.5 miles off shore,"No injury to occupant. As engine started, shark hit boat, breaking one of boats ribs in 3 places & stoving in 2 planks",N,4,South,Autumn,2000
1953.07.00,01-Jul-1953,1953,PANAMA,Gulf of Panama,60 miles offshore ,Hand severely bitten,N,7,North,Summer,2000
1953.07.04,04-Jul-1953,1953,USA,Hawaii,Kaula Rock near Niihau ,"Shark made 3 passes at him, lacerating his calf, shin and ankle ",N,7,North,Summer,2000
1953.07.09,09-Jul-1953,1953,CANADA,Nova Scotia,"Fourchu, Cape Breton Island",Burns drowned as result of attack on boat,N,7,North,Summer,2000
1953.04.04,04-Apr-1953,1953,USA,Texas,South Padre Island,Lacerations to right foot,N,4,North,Spring,2000
1954.10.02.a,02-Oct-1954,1954,JAPAN,Nagasaki Prefecture,Oomura Bay,Body found in gut of 2000-lb white shark,,10,North,Autumn,2000
1954.08.12.b,12-Aug-1954,1954,CUBA,Guantanamo Province,Boqueron,Knee bitten by shark that his dive buddy had shot  PROVOKED INCIDENT,N,8,North,Summer,2000
1954.09.04,04-Sep-1954,1954,AUSTRALIA,Torres Strait,"Darnley Island, Torres Strait","FATAL, after being bitten by shark, he was picked up by 85' trochus vessel Toorah that wrecked. His wounds reopened & he died ",Y,9,South,Spring,2000
1954.09.15,15-Sep-1954,1954,HONG KONG,Not applicable,Junk Bay,"FATAL, leg severely bitten",Y,9,North,Autumn,2000
1954.09.21,21-Sep-1954,1954,USA,California,"La Jolla, San Diego County",Minor bruises & abrasions on leg,N,9,North,Autumn,2000
1954.10.02.b,02-Oct-1954,1954,CROATIA,Zadar County,"Lika-Senj, Pag Island",No details,UNKNOWN,10,North,Autumn,2000
1954.12.11,11-Dec-1954,1954,AUSTRALIA,Victoria,Point Lonsdale,FATAL,Y,12,South,Summer,2000
1954.11.20,20-Nov-1954,1954,PHILIPPINES,Wake Island,Wilkes Islet Lagoon (Pacific Ocean north of the Marshall Islands),Shoulder bitten,N,11,North,Autumn,2000
1954.12.04,04-Dec-1954,1954,SOUTH AFRICA,KwaZulu-Natal,"Rocket Hut Beach, Durban",Shallow lacerations on torso,N,12,South,Summer,2000
1954.12.09,09-Dec-1954,1954,PAPUA NEW GUINEA,Central Province,"Kila Beach, Port Moresby","FATAL, abdomen & thigh bitten",Y,12,South,Summer,2000
1954.12.29,29-Dec-1954,1954,AMERICAN SAMOA,Tutuila Island,Near tuna cannery in Pago Pago Harbor,FATAL,Y,12,South,Summer,2000
1954.08.12.a,12-Aug-1954,1954,CUBA,Guantanamo Province,Boqueron,Right thigh & left calf injured by speared shark  PROVOKED INCIDENT,N,8,North,Summer,2000
1954.10.07,07-Oct-1954,1954,USA,Virginia,150 miles off Cape Henry,Rescue aircraft saw bodies in the water being bitten by sharks. One survivor saw a shark take off a mans leg & another reported that the second cook was killed by a shark,Y,10,North,Autumn,2000
1954.07.30,30-Jul-1954,1954,ECUADOR,Galapagos Islands,Not applicable,4 lacerations on dorsum of right foot ,N,7,South,Winter,2000
1954.10.06,06-Oct-1954,1954,UNITED KINGDOM,Isle of Man,Off Fleetwood,Arm broken by tail of netted shark PROVOKED INCIDENT,N,10,North,Autumn,2000
1954.07.27,27-Jul-1954,1954,ITALY,Venice Province,Off Chioggia,No injury to occupants. Shark tore nets & trawl and struck boat repeatedly,,7,North,Summer,2000
1954.07.28,28-Jul-1954,1954,SINGAPORE,Not applicable,Singapore Harbor,"FATAL, abdomen, buttock, right thigh & hands bitten ",Y,7,North,Summer,2000
1954.01.22.b,22-Jan-1954,1954,AUSTRALIA,Torres Strait,Naghir Island,Severe laceration to arm,N,1,South,Summer,2000
1954.01.30,30-Jan-1954,1954,AUSTRALIA,New South Wales,Avoca Beach,Abrasions to arm,N,1,South,Summer,2000
1954.02.27,27-Feb-1954,1954,AUSTRALIA,New South Wales,"The Entrance, near Gosford","FATAL, right thigh bitten ",Y,2,South,Summer,2000
1954.04.08,08-Apr-1954,1954,USA,Hawaii,"Wailupe, O'ahu","Body recovered, mutilated by shark/s",,4,North,Spring,2000
1954.05.26.R,Reported 26-May-1954,1954,PAPUA NEW GUINEA,East Sepik,Wewak,"FATAL, decapitated ",Y,5,South,Autumn,2000
1954.01.15,15-Jan-1954,1954,PAPUA NEW GUINEA,Madang Province,"Singour, 60 miles south of Madang",Back & thighs lacerated,N,1,South,Summer,2000
1954.01.22.a,22-Jan-1954,1954,ARGENTINA,Buenos Aires Province,"Miramar Beach, 46 km south of Mar de Plata, Buenos Aires ","Arm & left calf bitten, right leg lacerated",N,1,South,Summer,2000
1954.06.29,29-Jun-1954,1954,USA,California,"Santa Monica, Los Angeles County",Right elbow & forearm lacerated  PROVOKED INCIDENT,N,6,North,Summer,2000
1954.07.01.R,Reported 01-Jul-1954,1954,CROATIA,Not applicable,Pula,Human remains found in shark,,7,North,Summer,2000
1954.07.02.R,Reported 02-Jul-1954,1954,GREECE,Not applicable,Kalamata,FATAL,Y,7,North,Summer,2000
1954.07.03,03-Jul-1954,1954,BERMUDA,South shore ,Elbow Beach,"Left thigh bitten, chest lacerated  & defense wounds on foot, fingers and hands",N,7,North,Summer,2000
1954.07.04.R,Reported 04-Jul-1954,1954,USA,Florida,Florida Keys,Small wound on upper thigh,N,7,North,Summer,2000
1954.07.15,15-Jul-1954,1954,SLOVENIA,Slovenia,Between Punta Grossa & Koper,FATAL,Y,7,North,Summer,2000
1954.06.27,27-Jun-1954,1954,AUSTRALIA,Queensland,Fitzroy Island,"Shark bit right arm & shoulder, then Aken says, he ""knocked out"" the shark",N,6,South,Winter,2000
1955.08.30.a,30-Aug-1955,1955,USA,California,"Zuma Beach, Santa Monica, Los Angeles County","Surfer grabbed shark, which turned & bit him and 2 lifeguards PROVOKED INCIDENT",N,8,North,Summer,2000
1955.08.30.b,30-Aug-1955,1955,JAPAN,Izo Islands,"Mikura-jima Island, 150 miles south of Tokyo",FATAL,Y,8,North,Summer,2000
1955.09.03,03-Sep-1955,1955,USA,California,"Venice Beach, Los Angeles County",Minor injury,N,9,North,Autumn,2000
1955.09.04,04-Sep-1955,1955,USA,California,"Venice Beach, Los Angeles County",Dorsum of right foot lacerated,N,9,North,Autumn,2000
1955.09.20,20-Sep-1955,1955,USA,Hawaii,East Moloka'i,Arm bitten,N,9,North,Autumn,2000
1955.11.16,16-Nov-1955,1955,PAPUA NEW GUINEA,Central Province,"Kalautu Village, Baibara at the mouth of Oibada River",Right thigh bitten,N,11,South,Spring,2000
1955.09.23.b,23-Sep-1955,1955,USA,1000 miles west of Hawaii,Between Wake & Johnston Islands,FATAL,Y,9,North,Autumn,2000
1955.10.16,16-Oct-1955,1955,AUSTRALIA,Queensland,"Tully, North Queensland",Lassoed shark bit his hand PROVOKED INCIDENT,N,10,South,Spring,2000
1955.12.11,11-Dec-1955,1955,USA,Florida,½ mile offshore & 9 miles north of Fort Pierce,"No injury to occupants, shark released from net holed boat",N,12,North,Winter,2000
1955.12.31,Reported 31-Dec-1955,1955,AUSTRALIA,Tasmania,Not applicable,"No injury to occupants, shark gouged hull",N,12,South,Summer,2000
1955.08.26,26-Aug-1955,1955,CROATIA, Primorje-Gorski Kotar County,Opatija,FATAL,Y,8,North,Summer,2000
1955.09.23.a,23-Sep-1955,1955,USA,1000 miles west of Hawaii,Between Wake & Johnston Islands,Bitten several times before being rescued after 43 hours in the sea by the freighter Stell Advocate,N,9,North,Autumn,2000
1955.08.08,08-Aug-1955,1955,AMERICAN SAMOA,Tutuila Island,Pago Pago Bay,"FATAL, abdomen bitten  ",Y,8,South,Winter,2000
1955.08.04.R,Reported 04-Aug-1955,1955,USA,South Carolina,Windy Hill Beach,Finger bitten by hooked shark PROVOKED INCIDENT,N,8,North,Summer,2000
1955.01.15,15-Jan-1955,1955,SOUTH AFRICA,KwaZulu-Natal,A ford known as Brodies Coffin in St. Lucia Bay,"FATAL, leg bitten ",Y,1,South,Summer,2000
1955.07.25,25-Jul-1955,1955,JAPAN,Okayama Prefecture,Usimado-no-Seto,FATAL,Y,7,North,Summer,2000
1955.01.17,17-Jan-1955,1955,AUSTRALIA,New South Wales,"Wyargine Point, Edwards Beach, Balmoral Beach, Sydney","FATAL, anterior left leg & right calf bitten, no tissue lost  ",Y,1,South,Summer,2000
1955.02.01.,01-Feb-1955,1955,AUSTRALIA,New South Wales,Parramatta River,"No injury to occupants; shark grabbed oar, vaulted over scull",N,2,South,Summer,2000
1955.02.04,04-Feb-1955,1955,INDIA,Tamil Nadu,"Vanagiri, Madras (Chennai), Bay of Bengal",Leg bitten,N,2,North,Winter,2000
1955.02.06,06-Feb-1955,1955,USA,California,"Pacific Grove, Monterey County","Swimfin & 2 wool socks removed by shark, suit torn",N,2,North,Winter,2000
1955.02.10,10-Feb-1955,1955,USA,California,"Trinidad Bay, Humboldt County","No injury, shark bumped diver's face",N,2,North,Winter,2000
1955.02.05,05-Feb-1955,1955,AUSTRALIA,New South Wales,"Sugarloaf Bay, Middle Harbor, Sydney","FATAL, legs bitten ",Y,2,South,Summer,2000
1955.04.12,12-Apr-1955,1955,PAPUA NEW GUINEA,Not applicable,Abau,No injury. Shark took string of fish then struck canoe,N,4,South,Autumn,2000
1955.04.13.R,Reported 13-Apr-1955,1955,PAPUA NEW GUINEA,Central Province,"Hadrians (Haidana?) Island, near Port Moresby",Left shoulder bitten,N,4,South,Autumn,2000
1955.05.08,08-May-1955,1955,USA,California,"Malibu, Los Angeles County",Diver hit shark & right forearm slightly injured PROVOKED INCIDENT,N,5,North,Spring,2000
1955.07.07,07-Jul-1955,1955,YEMEN,Aden,Telegraph Bay,"FATAL, back lacerated, arm & leg severed  ",Y,7,North,Summer,2000
1955.07.15,15-Jul-1955,1955,CROATIA,Adriatic Sea,Budva,FATAL,Y,7,North,Summer,2000
1955.07.23,23-Jun-1955,1955,USA,Rhode Island,Occupasstuxet  (Patuxent) Cove,Bites on legs & thighs,N,6,North,Summer,2000
1955.03.09,09-Mar-1955,1955,AUSTRALIA,New South Wales,Wamberal,FATAL,Y,3,South,Autumn,2000
1956.09.13,13-Sep-1956,1956,INDIA,Near the Andaman & Nicobar Islands,Not applicable,FATAL,Y,9,North,Autumn,2000
1956.08.15.a,15-Aug-1956,1956,USA,California,"Pismo Beach, San Luis Obispo County","Lacerated thigh, hand & shoulder",N,8,North,Summer,2000
1956.08.15.b,15-Aug-1956,1956,AUSTRALIA,Queensland,Near Southport,Laceration to arm when his dive buddy grabbed the shark PROVOKED INCIDENT,N,8,South,Winter,2000
1956.08.15.R,Reported 15-Aug-1956,1956,USA,Puerto Rico,North coast,FATAL,Y,8,North,Summer,2000
1956.08.20,20-Aug-1956,1956,PAPUA NEW GUINEA,Central Province,"Paga Point, Port Moresby ","Leg bitten, but survived",N,8,South,Winter,2000
1956.08.25,25-Aug-1956,1956,PAPUA NEW GUINEA,Central Province,"Paga Point or Fishermans Island, Port Moresby","FATAL, tissue removed from abdomen & thigh  ",Y,8,South,Winter,2000
1956.09.23,23-Sep-1956,1956,USA,Florida,"Daytona Beach, Volusia County",Posterior left ankle bitten,N,9,North,Autumn,2000
1956.08.01,1-Aug-1956,1956,SOUTH AFRICA,KwaZulu-Natal,"Chain Rocks, Amanzimtoti","No injury, right swim fin bitten",N,8,South,Winter,2000
1956.10.20,20-Oct-1956,1956,PAPUA NEW GUINEA,Central Province,Kapakapa ,"Left forearm & hand bitten, surgically amputated ",N,10,South,Spring,2000
1956.10.27,27-Oct-1956,1956,SOUTH AFRICA,Western Cape Province,"Glencairn, False Bay",Right heel lacerated & swim fin removed by shark,N,10,South,Spring,2000
1956.12.09,09-Dec-1956,1956,NEW ZEALAND,North Island,North Auckland,Bitten in cockpit of boat by shark caught 30 minutes earlier PROVOKED INCIDENT,N,12,South,Summer,2000
1956.12.15.R,Reported 15-Dec-1956,1956,GABON,Estuaire Province,Owendo,FATAL,Y,12,South,Summer,2000
1956.12.24,24-Dec-1956,1956,PAPUA NEW GUINEA,Milne Bay Province,Samarai Island,"FATAL, left arm, shoulder & chest bitten ",Y,12,South,Summer,2000
1956.12.26,26-Dec-1956,1956,PAPUA NEW GUINEA,Milne Bay Province,Samarai Island (south end),"FATAL, left leg severed at hip, left torso removed ",Y,12,South,Summer,2000
1956.10.07,07-Oct-1956,1956,SENEGAL,"Near Dakar, Cap Vert Peninsula",Isle de Gorée,Right thigh bitten,N,10,North,Autumn,2000
1956.07.28,28-Jul-1956,1956,USA,Puerto Rico,Aquadilla,FATAL. His brother speared a shark which then attacked Jose & severed his leg at knee. PROVOKED INCIDENT  ,Y,7,North,Summer,2000
1956.01.16,16-Jan-1956,1956,COSTA RICA,Not applicable,San Juan River,"FATAL, leg severed ",Y,1,North,Winter,2000
1956.07.20,20-Jul-1956,1956,MALTA,St. Thomas Bay,Marsascala,FATAL,Y,7,North,Summer,2000
1956.07.26,26-Jul-1956,1956,USA,California,"Van Ness Municipal Pier, San Francisco",Finger bitten by hooked shark PROVOKED INCIDENT,N,7,North,Summer,2000
1956.01.16.R,Reported 16-Jan-1956,1956,AUSTRALIA,Torres Strait,Palm Island,Lacerations to thighs,N,1,South,Summer,2000
1956.02.10.R,Reported 10-Feb-1956,1956,AUSTRALIA,Victoria,Cowes,Punctures to calves,N,2,South,Summer,2000
1956.02.26,26-Feb-1956,1956,AUSTRALIA,Queensland,Pioneer River near Mackay,"FATAL, large amount of tissue removed from leg, artery severed  ",Y,2,South,Summer,2000
1956.03.04,04-Mar-1956,1956,AUSTRALIA,Victoria,"Portsea Beach, near entrance to Port Phillip Bay",FATAL,Y,3,South,Autumn,2000
1956.03.11,11-Mar-1956,1956,AUSTRALIA,New South Wales,"Cronulla, near Sydney","Right thigh gashed, swim fin torn",N,3,South,Autumn,2000
1956.03.25,25-Mar-1956,1956,ITALY,Ligurian Sea,"Genova, S. Nazaro, Punta Vagno",No details,UNKNOWN,3,North,Spring,2000
1956.01.05,05-Jan-1956,1956,AUSTRALIA,New South Wales,North Bondi,"No injury, shark bumped his 17' ski",N,1,South,Summer,2000
1956.05.26.R,Reported 26-May-1956,1956,SOUTH AFRICA,Western Cape Province,Plettenberg Bay,"No injury, sharks bit propellers, etc",N,5,South,Autumn,2000
1956.06.20,20-Jun-1956,1956,VENEZUELA,Not applicable,Venezuelan aircraft lost,FATAL x 6,Y,6,North,Summer,2000
1956.06.22, 22-Jun-1956,1956,PORTUGAL,Madeira,Off Funchal,"FATAL. Shark sank fishing boat, causing death by drowning",Y,6,North,Summer,2000
1956.06.28,28-Jun-1956,1956,AUSTRALIA,Torres Strait,"Fishman's Island (near Port Moresby, PNG) ","6"" gashes in foot & leg ",N,6,South,Winter,2000
1956.07.12,12-Jul-1956,1956,USA,South Carolina,"Isle of Palms, Charleston County",Arm & leg injured,N,7,North,Summer,2000
1956.07.17,17-Jul-1956,1956,USA,Florida,"Miami Beach, Miami-Dade County",Lacerations to legs,N,7,North,Summer,2000
1956.05.07,07-May-1956,1956,CUBA,Not applicable,Not applicable,FATAL,Y,5,North,Spring,2000
1957.09.02,02-Sep-1957,1957,MARSHALL ISLANDS,Eniwetok Atoll,Parry Island,Survived,N,9,North,Autumn,2000
1957.10.23,23-Oct-1957,1957,SOLOMON ISLANDS,Honiara,Honiara,FATAL,Y,10,South,Spring,2000
1957.10.24,24-Oct-1957,1957,SOLOMON ISLANDS,Honiara,Honiara,FATAL,Y,10,South,Spring,2000
1957.11.04.R,Reported 04-Nov-1957,1957,AUSTRALIA,New South Wales,Off Scotts,"No injury, shark's teeth embedded in boat",N,11,South,Spring,2000
1957.11.08,08-Nov-1957,1957,USA,"1,000 miles east of Hawaii",Not applicable,Navy personnel recovered 19 shark-scavenged bodies,N,11,North,Autumn,2000
1957.12.26,26-Dec-1957,1957,SOUTH AFRICA,KwaZulu-Natal,"Splash Rock, Port Edward",Lacerations on head & neck,N,12,South,Summer,2000
1957.12.20,20-Dec-1957,1957,SOUTH AFRICA,KwaZulu-Natal,Uvongo,"FATAL, multiple, severe injuries  ",Y,12,South,Summer,2000
1957.12.23,23-Dec-1957,1957,SOUTH AFRICA,KwaZulu-Natal,Margate,"FATAL, right arm broken & stripped of flesh, left hand severed above wrist, lower abdomen, buttocks & thigh bitten  ",Y,12,South,Summer,2000
1957.12.30,30-Dec-1957,1957,SOUTH AFRICA,KwaZulu-Natal,Margate,"Left arm severed, torso bitten, thigh lacerated, many abrasions",N,12,South,Summer,2000
1957.12.31,31-Dec-1957,1957,AUSTRALIA,South Australia,"Port Hughes, 100 miles from Adelaide in Spencer Gulf",No injury. Shark grabbed fish attached to his belt & towed him seaward.  ,N,12,South,Summer,2000
1957.07.24,24-Jul-1957,1957,USA,California,"La Jolla, San Diego County",Diver jabbed shark with spear and it make a threat display. No injury PROVOKED INCIDENT,N,7,North,Summer,2000
1957.12.18,18-Dec-1957,1957,SOUTH AFRICA,KwaZulu-Natal,Karridene,"Left leg severed at knee, part of left thigh removed",N,12,South,Summer,2000
1957.07.15,15-Jul-1957,1957,USA,North Carolina,"Salter Path, Atlantic Beach, Carteret County","FATAL, knee bitten  ",Y,7,North,Summer,2000
1957.07.09,09-Jul-1957,1957,AUSTRALIA,Torres Strait,Near Thursday Island,Right hand and arm bitten,N,7,South,Winter,2000
1957.06.21,21-Jun-1957,1957,CUBA,Yucatan Channel,Not applicable,"No injury, no attack, sharks in vicinity when the sea was calm",,6,North,Summer,2000
1957.01.05,05-Jan-1957,1957,SOUTH AFRICA,KwaZulu-Natal,Umgeni River Mouth,FATAL,Y,1,South,Summer,2000
1957.02.02,02-Feb-1957,1957,AUSTRALIA,Western Australia,Cape Levêque,Man landed at Cape Levêque lighthouse in critical condition after being bitten by a shark. Not known if he survived.,UNKNOWN,2,South,Summer,2000
1957.02.24,24-Feb-1957,1957,FIJI,Viti Levu,Suva Harbor,Right arm & forearm injured,N,2,South,Summer,2000
1957.04.07.a,07-Apr-1957,1957,SOLOMON ISLANDS,Bougainville (North Solomons),Kieta,Leg severed,N,4,South,Autumn,2000
1957.04.07.b,07-Apr-1957,1957,PAPUA NEW GUINEA,Bougainville (North Solomons),Kieta,Injured while Sonieva was transferred to another canoe,N,4,South,Autumn,2000
1957.02.05,05-Feb-1957,1957,USA,Florida,"South Beach, Fort Pierce, St Lucie County",Foot bitten,N,2,North,Winter,2000
1957.04.22,22-Apr-1957,1957,USA,Florida,"Ormond Beach, Volusia County",Ankle injured by shark trapped in pool as it tried to get out PROVOKED INCIDENT  ,N,4,North,Spring,2000
1957.04.23,23-Apr-1957,1957,AUSTRALIA,New South Wales,"Merewether Beach, Newcastle",Minor injuries,N,4,South,Autumn,2000
1957.04.28,28-Apr-1957,1957,USA,California,"Atascadero Beach, Morro Bay, San Luis Obispo County","FATAL, seen with arm in mouth of shark. Body not recovered.  ",Y,4,North,Spring,2000
1957.05.07,Reported 07-May-1957,1957,SOLOMON ISLANDS,Not applicable,Not applicable,Legs nipped & he bit shark's snout,N,5,South,Autumn,2000
1957.05.11,11-May-1957,1957,AUSTRALIA,New South Wales,"Tea Gardens, north of Newcastle",Thigh bitten & few lacerations on abdomen & buttock,N,5,South,Autumn,2000
1957.04.13,13-Apr-1957,1957,AUSTRALIA,Torres Strait,"Thursday Island Harbour, Queensland","Left arm bitten, surgically amputated",N,4,South,Autumn,2000
1958.09.13,13-Sep-1958,1958,MALAYSIA,Not applicable,Not applicable,"FATAL, leg bitten ",Y,9,North,Autumn,2000
1958.07.27.b,27-Jul-1958,1958,USA,Florida,"9 miles north of Turtle Beach, Siesta Key, Sarasota County",3 lacerations on leg,N,7,North,Summer,2000
1958.07.31.R,  Reported 31-Jul-1958,1958,MEXICO,Guerrero,"Caleta Beach, Acapulco",FATAL,Y,7,North,Summer,2000
1958.08.01,01-Aug-1958,1958,CROATIA,Primorje-Gorski Kotar County,Mo?eni?ka Draga,Leg injured,N,8,North,Summer,2000
1958.08.31,31-Aug-1958,1958,USA,Baja California,Ensenada,Shark tried to bite prop twice,N,8,North,Summer,2000
1958.09.01,01-Sep-1958,1958,USA,New York,Staten Island,Bitten by harpooned shark PROVOKED INCIDENT,N,9,North,Autumn,2000
1958.09.06,06-Sep-1958,1958,THE BAHAMAS,Cat Cay,off yacht Serenade,Right forearm lacerated,N,9,North,Autumn,2000
1958.10.05,05-Oct-1958,1958,USA,Florida,"Baker's Haulover, Miami Beach",No injury,N,10,North,Autumn,2000
1958.12.23,23-Dec-1958,1958,SOUTH AFRICA,Western Cape Province,"Melkbaai, False Bay",FATAL,Y,12,South,Summer,2000
1958.11.05,05-Nov-1958,1958,USA,California,"Pacific Beach, San Diego County","No injury to occupant, shark chasing barracuda tied to the stern rammed skiff & slashed the motor",N,11,North,Autumn,2000
1958.11.07.R,Reported 07-Nov-1958,1958,PAPUA NEW GUINEA,"Admiralty Islands, Manus Province","M'Buke, south of Manus Island","FATAL, left arm & leg severed  ",Y,11,South,Spring,2000
1958.11.23,23-Nov-1958,1958,AUSTRALIA,Queensland,Surfer's Paradise,FATAL,Y,11,South,Spring,2000
1958.12.12,12-Dec-1958,1958,AMERICAN SAMOA,Tutuila Island,Van Camp wharf,"FATAL, left thigh & hip bitten  ",Y,12,South,Summer,2000
1958.12.13,13-Dec-1958,1958,USA,Hawaii,"Near Twin Islands off Lanikai, O'ahu (east coast)","FATAL, leg severed  ",Y,12,North,Winter,2000
1958.07.27.a,27-Jul-1958,1958,USA,Florida,"Longboat Key, Sarasota, Sarasota County","Left hand and  leg bitten, leg surgically amputated below hip",N,7,North,Summer,2000
1958.12.27,27-Dec-1958,1958,PAPUA NEW GUINEA,Madang Province,Taludig,Hip bitten,N,12,South,Summer,2000
1958.12.28,28-Dec-1958,1958,TURKEY,Ahirkapi coast,Constantinople,Boat damaged,,12,North,Winter,2000
1958.10.12,12-Oct-1958,1958,USA,California,"Coronado Strand, San Diego County","Left arm, hips & leg lacerated",N,10,North,Autumn,2000
1958.07.10,10-Jul-1958,1958,USA,Florida,"Key West, Monroe County",FATAL  Autopsy report: bitten by shark while still alive,Y,7,North,Summer,2000
1958.11.14,14-Nov-1958,1958,SOUTH AFRICA,Western Cape Province,False Bay,"No injury, shark leapt at him",,11,South,Spring,2000
1958.07.04.b,04-Jul-1958,1958,USA,Between Hawaii & Wake Island,600 miles northwest of Honolulu,FATAL,Y,7,North,Summer,2000
1958.07.08, 08-Jul-1958,1958,KENYA,Coast Province,Port Kilindeni / Mombasa Harbor,"FATAL, leg severed ",Y,7,North,Summer,2000
1958.01.09,09-Jan-1958,1958,SOUTH AFRICA,KwaZulu-Natal,Scotburgh,FATAL,Y,1,South,Summer,2000
1958.01.19,19-Jan-1958,1958,AUSTRALIA,New South Wales,Brunswick Heads,"Laceration to left ankle, heel and little toe",N,1,South,Summer,2000
1958.01.27,27-Jan-1958,1958,AUSTRALIA,New South Wales,5 miles south of Sussex Inlet at mouth of Berara Lake,Right leg lacerated,N,1,South,Summer,2000
1958.02.01,01-Feb-1958,1958,MADAGASCAR,US Virgin Islands,Water Island,Chest bitten by speared shark PROVOKED INCIDENT,N,2,South,Summer,2000
1958.02.19,19-Feb-1958,1958,AUSTRALIA,New South Wales,Not applicable,"Disappeared while diving, speargun recovered, 2 large sharks in vicinity.",,2,South,Summer,2000
1958.04.03,03-Apr-1958,1958,SOUTH AFRICA,KwaZulu-Natal,Port Edward,"FATAL, arm severed above elbow, abdomen & leg bitten  ",Y,4,South,Autumn,2000
1958.04.05,05-Apr-1958,1958,SOUTH AFRICA,KwaZulu-Natal,Uvongo,FATAL,Y,4,South,Autumn,2000
1958.04.19,19-Apr-1958,1958,TAIWAN,Taipei Hsien,Off Cape of Pi-tou,Right cheek bitten,N,4,North,Spring,2000
1958.01.09.R,Reported 09-Jan-1958,1958,JAPAN,Ibaraki Prefecture,Mito,Torso recovered from 206-lb shark,,1,North,Winter,2000
1958.06.02.R,Reported 02-Jun-1958,1958,SOUTH AFRICA,KwaZulu-Natal,King Reef off Park Rynie,Injuries not caused by sharks,,6,South,Winter,2000
